id,name_zh,reason
607,牵手,未匹配
614,千箭齐发,未匹配
615,千波激荡,未匹配
622,究极无敌大冲撞,未匹配
623,究极无敌大冲撞,未匹配
624,全力无双激烈拳,未匹配
625,全力无双激烈拳,未匹配
626,极速俯冲轰烈撞,未匹配
627,极速俯冲轰烈撞,未匹配
628,强酸剧毒灭绝雨,未匹配
629,强酸剧毒灭绝雨,未匹配
630,地隆啸天大终结,未匹配
631,地隆啸天大终结,未匹配
632,毁天灭地巨岩坠,未匹配
633,毁天灭地巨岩坠,未匹配
634,绝对捕食回旋斩,未匹配
635,绝对捕食回旋斩,未匹配
636,无尽暗夜之诱惑,未匹配
637,无尽暗夜之诱惑,未匹配
638,超绝螺旋连击,未匹配
639,超绝螺旋连击,未匹配
640,超强极限爆焰弹,未匹配
641,超强极限爆焰弹,未匹配
642,超级水流大漩涡,未匹配
643,超级水流大漩涡,未匹配
644,绚烂缤纷花怒放,未匹配
645,绚烂缤纷花怒放,未匹配
646,终极伏特狂雷闪,未匹配
647,终极伏特狂雷闪,未匹配
648,至高精神破坏波,未匹配
649,至高精神破坏波,未匹配
650,激狂大地万里冰,未匹配
651,激狂大地万里冰,未匹配
652,究极巨龙震天地,未匹配
653,究极巨龙震天地,未匹配
654,黑洞吞噬万物灭,未匹配
655,黑洞吞噬万物灭,未匹配
656,可爱星星飞天撞,未匹配
657,可爱星星飞天撞,未匹配
658,皮卡皮卡必杀击,未匹配
691,鳞片噪音,未匹配
696,极恶飞跃粉碎击,未匹配
697,海神庄严交响乐,未匹配
698,巨人卫士・阿罗拉,未匹配
699,七星夺魂腿,未匹配
700,驾雷驭电戏冲浪,未匹配
701,认真起来大爆击,未匹配
702,九彩升华齐聚顶,未匹配
705,花朵加农炮,未匹配
709,冲岩,未匹配
719,千万伏特,未匹配
723,焚天灭世炽光爆,未匹配
724,日光回旋下苍穹,未匹配
725,月华飞溅落灵霄,未匹配
726,亲密无间大乱揍,未匹配
727,狼啸石牙飓风暴,未匹配
728,炽魂热舞烈音爆,未匹配
743,极巨防壁,未匹配
757,极巨火爆,未匹配
758,极巨虫蛊,未匹配
759,极巨闪电,未匹配
760,极巨攻击,未匹配
761,极巨拳斗,未匹配
762,极巨幽魂,未匹配
763,极巨寒冰,未匹配
764,极巨酸毒,未匹配
765,极巨水流,未匹配
766,极巨飞冲,未匹配
767,极巨妖精,未匹配
768,极巨龙骑,未匹配
769,极巨超能,未匹配
770,极巨岩石,未匹配
771,极巨大地,未匹配
772,极巨恶霸,未匹配
773,极巨草原,未匹配
774,极巨钢铁,未匹配
10001,,空名称
10002,,空名称
10003,,空名称
10004,,空名称
10005,,空名称
10006,,空名称
10007,,空名称
10008,,空名称
10009,,空名称
10010,,空名称
10011,,空名称
10012,,空名称
10013,,空名称
10014,,空名称
10015,,空名称
10016,,空名称
10017,,空名称
10018,,空名称
